source_survey_itemID	target_survey_itemID	Study	module	item_type	item_name	item_value	source_text	target_text
EVS_R04_2008_ENG_GB_2950	EVS_R04_2008_GER_AT_3517	EVS_R04_2008	Administrative/Protocol Variables	REQUEST	Q137		Date of the interview:	Datum des Interviews
EVS_R04_2008_ENG_GB_2951	EVS_R04_2008_GER_AT_3518	EVS_R04_2008	Administrative/Protocol Variables	REQUEST	Q137		day	Tag:
EVS_R04_2008_ENG_GB_2952	EVS_R04_2008_GER_AT_3519	EVS_R04_2008	Administrative/Protocol Variables	REQUEST	Q137		month	Monat:
EVS_R04_2008_ENG_GB_2953	EVS_R04_2008_GER_AT_3520	EVS_R04_2008	Administrative/Protocol Variables	REQUEST	Q137		year	Jahr:
EVS_R04_2008_ENG_GB_2954	EVS_R04_2008_GER_AT_3521	EVS_R04_2008	Administrative/Protocol Variables	REQUEST	Q139		During the interview the respondent was ...	Während des Interviews war der/die Befragte...
EVS_R04_2008_ENG_GB_2960	EVS_R04_2008_GER_AT_3527	EVS_R04_2008	Administrative/Protocol Variables	INSTRUCTION	Q140		CODING INSTRUCTION: USE PRE-SPECIFIED ISO 639-1 CODES FOR ALL LANGUAGES THAT QUESTIONNAIRE IS TRANSLATED INTO	KODIERANWEISUNG: FESTGELEGTE ISO 639-1 CODES FÜR ALLE SPRACHEN VERWENDEN, IN DIE DER FRAGEBOGEN ÜBERSETZT WURDE
EVS_R04_2008_ENG_GB_2958	EVS_R04_2008_GER_AT_3525	EVS_R04_2008	Administrative/Protocol Variables	REQUEST	Q140		In which language was the interview conducted?	In welcher Sprache wurde das Interview geführt?
EVS_R04_2008_ENG_GB_2959	EVS_R04_2008_GER_AT_3526	EVS_R04_2008	Administrative/Protocol Variables	REQUEST	Q140		Write in:	Bitte notieren!
EVS_R04_2008_ENG_GB_2961	EVS_R04_2008_GER_AT_3528	EVS_R04_2008	Administrative/Protocol Variables	REQUEST	Q140		Code	Code:
EVS_R04_2008_ENG_GB_2202	EVS_R04_2008_GER_AT_2541	EVS_R04_2008	Environment	INSTRUCTION	Q85		SHOW CARD 85 - READ OUT AND CODE ONE ANSWER PER LINE!	Bitte Liste 85 vorlegen – VORLESEN UND PRO ZEILE JEWEILS EINE ANTWORT ANKREUZEN!
EVS_R04_2008_ENG_GB_2203	EVS_R04_2008_GER_AT_2542	EVS_R04_2008	Environment	REQUEST	Q85		I am now going to read out some statements about the environment.	Ich werde Ihnen nun einige Aussagen zum Thema Umwelt vorlesen.
EVS_R04_2008_ENG_GB_2204	EVS_R04_2008_GER_AT_2543	EVS_R04_2008	Environment	REQUEST	Q85		For each one, can you tell me whether you agree strongly, agree, disagree or strongly disagree with it?	Bitte sagen Sie mir jedesmal, ob Sie voll und ganz zustimmen, zustimmen, ablehnen oder stark ablehnen.
