source_survey_itemID	target_survey_itemID	Study	module	item_type	item_name	item_value	source_text	target_text
EVS_R05_2017_ENG_GB_417	EVS_R05_2017_GER_DE_459	EVS_R05_2017	Family	INTRODUCTION	Q23a		The following questions are about family life and marriage	Nun geht es um die Themen Partnerschaft und Familienleben.
EVS_R05_2017_ENG_GB_415	EVS_R05_2017_GER_DE_457	EVS_R05_2017	Family	INSTRUCTION	Q23a		SHOW CARD 23	VORLEGEN LISTE 23
EVS_R05_2017_ENG_GB_416	EVS_R05_2017_GER_DE_458	EVS_R05_2017	Family	INSTRUCTION	Q23a		READ OUT AND CODE ONE ANSWER PER LINE	VORLESEN UND EINE ANTWORT PRO ZEILE KODIEREN
EVS_R05_2017_ENG_GB_418	EVS_R05_2017_GER_DE_460	EVS_R05_2017	Family	REQUEST	Q23a		Here is a list of things which some people think make for a successful marriage.	Hier auf dieser Liste steht Verschiedenes, was manche für eine gute Ehe oder allgemein für eine gute Partnerschaft für wichtig halten.
EVS_R05_2017_ENG_GB_419	EVS_R05_2017_GER_DE_461	EVS_R05_2017	Family	REQUEST	Q23a		Please tell me, for each one, whether you think it is very important, rather important or not very important for a successful marriage?	Sagen Sie mir bitte für jeden Punkt, ob Sie meinen, dass dieser sehr wichtig, ziemlich wichtig oder nicht besonders wichtig ist.
EVS_R05_2017_ENG_GB_420	EVS_R05_2017_GER_DE_462	EVS_R05_2017	Family	REQUEST	Q23a		For a successful marriage or partnership, please indicate how important is...	Wie wichtig ist Ihnen Folgendes für eine gute Ehe oder Partnerschaft?
EVS_R05_2017_ENG_GB_421	EVS_R05_2017_GER_DE_463	EVS_R05_2017	Family	REQUEST	Q23a		Faithfulness	Treue
EVS_R05_2017_ENG_GB_422	EVS_R05_2017_GER_DE_464	EVS_R05_2017	Family	RESPONSE	Q23a	1.0	very important	Sehr wichtig
EVS_R05_2017_ENG_GB_423	EVS_R05_2017_GER_DE_465	EVS_R05_2017	Family	RESPONSE	Q23a	2.0	rather important	Ziemlich wichtig
EVS_R05_2017_ENG_GB_424	EVS_R05_2017_GER_DE_466	EVS_R05_2017	Family	RESPONSE	Q23a	3.0	not very important	Nicht besonders wichtig
EVS_R05_2017_ENG_GB_425	EVS_R05_2017_GER_DE_467	EVS_R05_2017	Family	RESPONSE	Q23a	888.0	Don't know (spontaneous)	Weiß nicht (spontan)
EVS_R05_2017_ENG_GB_426	EVS_R05_2017_GER_DE_468	EVS_R05_2017	Family	REQUEST	Q23b		For a successful marriage or partnership, please indicate how important is...	Wie wichtig ist Ihnen Folgendes für eine gute Ehe oder Partnerschaft?
EVS_R05_2017_ENG_GB_427	EVS_R05_2017_GER_DE_469	EVS_R05_2017	Family	REQUEST	Q23b		An adequate income	Angemessenes Einkommen
EVS_R05_2017_ENG_GB_428	EVS_R05_2017_GER_DE_470	EVS_R05_2017	Family	RESPONSE	Q23b	1.0	very important	Sehr wichtig
EVS_R05_2017_ENG_GB_429	EVS_R05_2017_GER_DE_471	EVS_R05_2017	Family	RESPONSE	Q23b	2.0	rather important	Ziemlich wichtig
EVS_R05_2017_ENG_GB_430	EVS_R05_2017_GER_DE_472	EVS_R05_2017	Family	RESPONSE	Q23b	3.0	not very important	Nicht besonders wichtig
EVS_R05_2017_ENG_GB_431	EVS_R05_2017_GER_DE_473	EVS_R05_2017	Family	RESPONSE	Q23b	888.0	Don't know (spontaneous)	Weiß nicht (spontan)
EVS_R05_2017_ENG_GB_432	EVS_R05_2017_GER_DE_474	EVS_R05_2017	Family	REQUEST	Q23c		For a successful marriage or partnership, please indicate how important is...	Wie wichtig ist Ihnen Folgendes für eine gute Ehe oder Partnerschaft?
EVS_R05_2017_ENG_GB_433	EVS_R05_2017_GER_DE_475	EVS_R05_2017	Family	REQUEST	Q23c		Good housing	Gute Wohnverhältnisse
EVS_R05_2017_ENG_GB_434	EVS_R05_2017_GER_DE_476	EVS_R05_2017	Family	RESPONSE	Q23c	1.0	very important	Sehr wichtig
