source_survey_itemID	target_survey_itemID	Study	module	item_type	item_name	item_value	source_text	target_text
ESS_R09_2018_ENG_SOURCE_2	ESS_R09_2018_GER_AT_2	ESS_R09_2018	A - Media; social trust	INSTRUCTION	A1		INTERVIEWER: If no time spent, enter 00 00.	INTERVIEWER: Falls keine Zeit verwendet wird, bitte 00 00 eintragen.
ESS_R09_2018_ENG_SOURCE_3	ESS_R09_2018_GER_AT_3	ESS_R09_2018	A - Media; social trust	INSTRUCTION	A1		TYPE IN DURATION:	DAUER EINTRAGEN:
ESS_R09_2018_ENG_SOURCE_0	ESS_R09_2018_GER_AT_0	ESS_R09_2018	A - Media; social trust	REQUEST	A1		On a typical day, about how much time do you spend watching, reading or listening to news about politics and current affairs?	Wie viel Zeit verbringen Sie etwa an einem gewöhnlichen Tag damit, Nachrichten zum politischen Geschehen anzuschauen, zu lesen oder zu hören?
ESS_R09_2018_ENG_SOURCE_1	ESS_R09_2018_GER_AT_1	ESS_R09_2018	A - Media; social trust	REQUEST	A1		Please give your answer in hours and minutes.	Bitte geben Sie Ihre Antwort in Stunden und Minuten.
ESS_R09_2018_ENG_SOURCE_4	ESS_R09_2018_GER_AT_4	ESS_R09_2018	A - Media; social trust	REQUEST	A1		hours:	Stunden:
ESS_R09_2018_ENG_SOURCE_5	ESS_R09_2018_GER_AT_5	ESS_R09_2018	A - Media; social trust	REQUEST	A1		minutes:	Minuten:
ESS_R09_2018_ENG_SOURCE_6	ESS_R09_2018_GER_AT_6	ESS_R09_2018	A - Media; social trust	INSTRUCTION	A2		CARD 1	KARTE 1
ESS_R09_2018_ENG_SOURCE_7	ESS_R09_2018_GER_AT_7	ESS_R09_2018	A - Media; social trust	REQUEST	A2		People can use the internet on different devices such as computers, tablets and smartphones.	Man kann das Internet auf verschiedenen Geräten nutzen, wie beispielsweise Computern, Tablets und Smartphones.
ESS_R09_2018_ENG_SOURCE_8	ESS_R09_2018_GER_AT_8	ESS_R09_2018	A - Media; social trust	REQUEST	A2		How often do you use the internet on these or any other devices, whether for work or personal use?	Wie oft nutzen Sie das Internet auf so einem oder einem anderen Gerät, sei es bei der Arbeit oder für private Zwecke?
ESS_R09_2018_ENG_SOURCE_9	ESS_R09_2018_GER_AT_9	ESS_R09_2018	A - Media; social trust	RESPONSE	A2	1	Never	Nie
ESS_R09_2018_ENG_SOURCE_10	ESS_R09_2018_GER_AT_10	ESS_R09_2018	A - Media; social trust	RESPONSE	A2	2	Only occasionally	Nur ab und zu
ESS_R09_2018_ENG_SOURCE_11	ESS_R09_2018_GER_AT_11	ESS_R09_2018	A - Media; social trust	RESPONSE	A2	3	A few times a week	Ein paarmal pro Woche
ESS_R09_2018_ENG_SOURCE_12	ESS_R09_2018_GER_AT_12	ESS_R09_2018	A - Media; social trust	RESPONSE	A2	4	Most days	An den meisten Tagen
ESS_R09_2018_ENG_SOURCE_13	ESS_R09_2018_GER_AT_13	ESS_R09_2018	A - Media; social trust	RESPONSE	A2	5	Every day	Jeden Tag
ESS_R09_2018_ENG_SOURCE_16	ESS_R09_2018_GER_AT_16	ESS_R09_2018	A - Media; social trust	INSTRUCTION	A3		TYPE IN DURATION:	DAUER EINTRAGEN:
ESS_R09_2018_ENG_SOURCE_14	ESS_R09_2018_GER_AT_14	ESS_R09_2018	A - Media; social trust	REQUEST	A3		On a typical day, about how much time do you spend using the internet on a computer, tablet, smartphone or other device, whether for work or personal use?	Wie lange ungefähr nutzen Sie an einem gewöhnlichen Tag das Internet auf einem Computer, Tablet, Smartphone oder einem anderen Gerät, sei es bei der Arbeit oder für private Zwecke?
ESS_R09_2018_ENG_SOURCE_15	ESS_R09_2018_GER_AT_15	ESS_R09_2018	A - Media; social trust	REQUEST	A3		Please give your answer in hours and minutes.	Bitte geben Sie Ihre Antwort in Stunden und Minuten.
ESS_R09_2018_ENG_SOURCE_17	ESS_R09_2018_GER_AT_17	ESS_R09_2018	A - Media; social trust	REQUEST	A3		hours:	Stunden:
ESS_R09_2018_ENG_SOURCE_18	ESS_R09_2018_GER_AT_18	ESS_R09_2018	A - Media; social trust	REQUEST	A3		minutes:	Minuten:
ESS_R09_2018_ENG_SOURCE_19	ESS_R09_2018_GER_AT_19	ESS_R09_2018	A - Media; social trust	INSTRUCTION	A4		CARD 2	KARTE 2
	ESS_R09_2018_GER_AT_20	ESS_R09_2018	A - Media; social trust	INSTRUCTION	A4			Bitte benutzen Sie diese Karte.
ESS_R09_2018_ENG_SOURCE_21	ESS_R09_2018_GER_AT_22	ESS_R09_2018	A - Media; social trust	INSTRUCTION	A4		Please tell me on a score of 0 to 10, where 0 means you can't be too careful and 10 means that most people can be trusted.	Bitte wählen Sie Ihre Antwort von der Skala 0 bis 10, wobei 0 bedeutet, dass man nicht vorsichtig genug sein kann und 10 bedeutet, dass man den meisten Menschen vertrauen kann.
ESS_R09_2018_ENG_SOURCE_20	ESS_R09_2018_GER_AT_21	ESS_R09_2018	A - Media; social trust	REQUEST	A4		Using this card, generally speaking, would you say that most people can be trusted, or that you can't be too careful in dealing with people?	Würden Sie ganz generell sagen, dass man den meisten Menschen vertrauen kann oder, dass man im Umgang mit anderen Menschen nicht vorsichtig genug sein kann?
ESS_R09_2018_ENG_SOURCE_22	ESS_R09_2018_GER_AT_23	ESS_R09_2018	A - Media; social trust	RESPONSE	A4	1	You can't be too careful	Man kann nicht vorsichtig genug sein
ESS_R09_2018_ENG_SOURCE_23	ESS_R09_2018_GER_AT_24	ESS_R09_2018	A - Media; social trust	RESPONSE	A4	11	Most people can be trusted	Den meisten Menschen kann man vertrauen
ESS_R09_2018_ENG_SOURCE_24	ESS_R09_2018_GER_AT_25	ESS_R09_2018	A - Media; social trust	INSTRUCTION	A5		CARD 3	KARTE 3
	ESS_R09_2018_GER_AT_26	ESS_R09_2018	A - Media; social trust	INSTRUCTION	A5			Bitte benutzen Sie diese Karte.
ESS_R09_2018_ENG_SOURCE_25	ESS_R09_2018_GER_AT_27	ESS_R09_2018	A - Media; social trust	REQUEST	A5		Using this card, do you think that most people would try to take advantage of you if they got the chance, or would they try to be fair?	Glauben Sie, dass die meisten Menschen versuchen, Sie auszunutzen, wenn sie die Möglichkeit dazu hätten, oder würden sie sich Ihnen gegenüber fair verhalten?
ESS_R09_2018_ENG_SOURCE_26	ESS_R09_2018_GER_AT_28	ESS_R09_2018	A - Media; social trust	RESPONSE	A5	1	Most people would try to take advantage of me	Die meisten Menschen würden versuchen mich auszunutzen
ESS_R09_2018_ENG_SOURCE_27	ESS_R09_2018_GER_AT_29	ESS_R09_2018	A - Media; social trust	RESPONSE	A5	11	Most people would try to be fair	Die meisten Menschen würden versuchen sich fair zu verhalten
ESS_R09_2018_ENG_SOURCE_28	ESS_R09_2018_GER_AT_30	ESS_R09_2018	A - Media; social trust	INSTRUCTION	A6		CARD 4	KARTE 4
ESS_R09_2018_ENG_SOURCE_30	ESS_R09_2018_GER_AT_32	ESS_R09_2018	A - Media; social trust	INSTRUCTION	A6		Please use this card.	Bitte verwenden Sie diese Karte.
ESS_R09_2018_ENG_SOURCE_29	ESS_R09_2018_GER_AT_31	ESS_R09_2018	A - Media; social trust	REQUEST	A6		Would you say that most of the time people try to be helpful or that they are mostly looking out for themselves?	Würden Sie sagen, dass die meisten Menschen im Großen und Ganzen versuchen, hilfsbereit zu sein, oder sind sie meistens nur auf den eigenen Vorteil bedacht?
ESS_R09_2018_ENG_SOURCE_31	ESS_R09_2018_GER_AT_33	ESS_R09_2018	A - Media; social trust	RESPONSE	A6	1	People mostly look out for themselves	Die meisten Menschen sind nur auf den eigenen Vorteil bedacht
ESS_R09_2018_ENG_SOURCE_32	ESS_R09_2018_GER_AT_34	ESS_R09_2018	A - Media; social trust	RESPONSE	A6	11	People mostly try to be helpful	Die meisten Menschen versuchen hilfsbereit zu sein
ESS_R09_2018_ENG_SOURCE_34	ESS_R09_2018_GER_AT_37	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	INSTRUCTION	B1		READ OUT...	VORLESEN...
ESS_R09_2018_ENG_SOURCE_33	ESS_R09_2018_GER_AT_35	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	REQUEST	B1		How interested would you say you are in politics – are you...	Wie sehr sind Sie persönlich an Politik interessiert?
	ESS_R09_2018_GER_AT_36	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	REQUEST	B1			Sind Sie ...?
ESS_R09_2018_ENG_SOURCE_35	ESS_R09_2018_GER_AT_38	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B1	1	very interested,	Sehr interessiert
ESS_R09_2018_ENG_SOURCE_36	ESS_R09_2018_GER_AT_39	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B1	2	quite interested,	Ziemlich interessiert
ESS_R09_2018_ENG_SOURCE_37	ESS_R09_2018_GER_AT_40	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B1	3	hardly interested,	Kaum interessiert
ESS_R09_2018_ENG_SOURCE_38	ESS_R09_2018_GER_AT_41	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B1	4	or, not at all interested?	oder überhaupt nicht interessiert?
ESS_R09_2018_ENG_SOURCE_39	ESS_R09_2018_GER_AT_42	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	INSTRUCTION	B2		CARD 5	KARTE 5
ESS_R09_2018_ENG_SOURCE_40	ESS_R09_2018_GER_AT_43	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	REQUEST	B2		How much would you say the political system in [country] allows people like you to have a say in what the government does?	Aus Ihrer Sicht: In welchem Maße gibt das politische System in Österreich Menschen wie Ihnen eine Mitsprachemöglichkeit bei dem, was die Regierung tut?
ESS_R09_2018_ENG_SOURCE_41	ESS_R09_2018_GER_AT_44	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B2	1	Not at all	Überhaupt nicht
ESS_R09_2018_ENG_SOURCE_42	ESS_R09_2018_GER_AT_45	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B2	2	Very little	Sehr wenig
ESS_R09_2018_ENG_SOURCE_43	ESS_R09_2018_GER_AT_46	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B2	3	Some	Etwas
ESS_R09_2018_ENG_SOURCE_44	ESS_R09_2018_GER_AT_47	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B2	4	A lot	Stark
ESS_R09_2018_ENG_SOURCE_45	ESS_R09_2018_GER_AT_48	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B2	5	A great deal	Sehr stark
ESS_R09_2018_ENG_SOURCE_46	ESS_R09_2018_GER_AT_49	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	INSTRUCTION	B3		CARD 6	KARTE 6
ESS_R09_2018_ENG_SOURCE_47	ESS_R09_2018_GER_AT_50	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	REQUEST	B3		How able do you think you are to take an active role in a group involved with political issues?	Wie fähig fühlen Sie sich, eine aktive Rolle in einer Gruppe zu übernehmen, die sich für politische Themen engagiert?
ESS_R09_2018_ENG_SOURCE_48	ESS_R09_2018_GER_AT_51	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B3	1	Not at all able	Überhaupt nicht fähig
ESS_R09_2018_ENG_SOURCE_49	ESS_R09_2018_GER_AT_52	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B3	2	A little able	Wenig fähig
ESS_R09_2018_ENG_SOURCE_50	ESS_R09_2018_GER_AT_53	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B3	3	Quite able	Ziemlich fähig
ESS_R09_2018_ENG_SOURCE_51	ESS_R09_2018_GER_AT_54	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B3	4	Very able	Sehr fähig
ESS_R09_2018_ENG_SOURCE_52	ESS_R09_2018_GER_AT_55	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B3	5	Completely able	Vollkommen fähig
ESS_R09_2018_ENG_SOURCE_53	ESS_R09_2018_GER_AT_56	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	INSTRUCTION	B4		CARD 7	KARTE 7
ESS_R09_2018_ENG_SOURCE_54	ESS_R09_2018_GER_AT_57	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	REQUEST	B4		And how much would you say that the political system in [country] allows people like you to have an influence on politics?	Was meinen Sie: In welchem Maße gibt das politische System in Österreich Menschen wie Ihnen die Möglichkeit, die Politik zu beeinflussen?
ESS_R09_2018_ENG_SOURCE_55	ESS_R09_2018_GER_AT_58	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B4	1	Not at all	Überhaupt nicht
ESS_R09_2018_ENG_SOURCE_56	ESS_R09_2018_GER_AT_59	ESS_R09_2018	B - Politics, including: political interest, efficacy, trust, electoral and other forms of participation, party allegiance, socio-political evaluations/orientations, multi-level governance	RESPONSE	B4	2	Very little	Sehr wenig
