survey_item_ID	human_pe	chat_gpt4_pe	baseline_rev
MTE_GER_0	nun einige fragen dazu wie unsere gesellschaft funktioniert	nun einige fragen zur funktionsweise der gesellschaft	nun kommen einige fragen dazu wie die gesellschaft funktioniert
MTE_GER_1	ich werde ihnen jetzt einige fragen zum sozialen status stellen den menschen in verschiedenen altersgruppen in der gesellschaft haben	ich werde ihnen jetzt einige fragen zum sozialen status stellen den menschen in verschiedenen altersgruppen in der gesellschaft haben	ich werde ihnen jetzt einige fragen zum sozialen status stellen den menschen verschiedener altersgruppen in der gesellschaft haben
MTE_GER_2	mit sozialem status meine ich das prestige das soziales ansehen oder die position in der gesellschaft	mit sozialem status meine ich prestige soziales ansehen oder position in der gesellschaft	mit sozialem status meine ich prestige ansehen oder gesellschaftliche stellung
MTE_GER_3	ich meine nicht die teilnahme an sozialen gruppen oder aktivitäten	ich meine nicht die teilnahme an sozialen gruppen oder aktivitäten	nicht damit gemeint ist die beteiligung an sozialen gruppen oder aktivitäten
MTE_GER_4	ich bin daran interessiert was sie meinen wie die meisten menschen in land den status von menschen in ihren 20ern menschen in ihren 40ern und menschen über 70 sehen	ich bin daran interessiert wie sie denken dass die meisten menschen in deutschland den status von menschen in ihren 20ern menschen in ihren 40ern und menschen über 70 sehen	mich interessiert wie die meisten menschen in deutschland ihrer meinung nach den status von menschen in ihren 20ern in ihren 40ern und von menschen über 70 jahre sehen
MTE_GER_5	bitte sagen sie mir anhand dieser karte wie die meisten menschen den status der folgenden gruppen sehen	wenn sie diese karte verwenden teilen sie mir bitte mit wo die meisten personen den status von	bitte sagen sie mir anhand dieser liste wo die meisten menschen den status von menschen in ihren 20ern und von menschen über 70 jahre einstufen würden
MTE_GER_6	menschen in ihren 20ern	menschen in ihren 20ern sehen	von menschen in ihren 20ern
MTE_GER_7	menschen über 70	menschen über 70 sehen	von menschen über 70 jahre
MTE_GER_8	extrem niedriger status	extrem niedriger status	äußerst niedriger status
MTE_GER_9	extrem hoher status	extrem hoher status	äußerst hoher status
MTE_GER_10	verweigerung	verweigerung	verweigert
MTE_GER_11	weiß nicht	weiß nicht	weiß nicht
MTE_GER_12	bitte sagen sie mir anhand dieser karte wie sie alles in allem menschen in ihren 20ern und menschen über 70 in land heutzutage sehen	berücksichtigen sie bitte alle aspekte und verwenden sie diese karte um zu sagen wie sie menschen in ihren 20ern und menschen über 70 in deutschland heute sehen	alles in allem wie sehen sie heute menschen in ihren 20ern und menschen über 70 jahre in deutschland bitte sagen sie es mir anhand dieser liste
MTE_GER_13	ich sehe menschen in ihren 20ern und über 70 als	ich sehe die in ihren 20ern und über 70 als	ich sehe diejenigen in ihren 20ern und über 70 jahre
MTE_GER_14	eine gruppe	eine gruppe	als eine gruppe
MTE_GER_15	zwei separate gruppen die teil derselben gemeinschaft sind	zwei separate gruppen die teil derselben gemeinschaft sind	als zwei getrennte gruppen die teil derselben gemeinschaft sind
MTE_GER_16	zwei separate gruppen die nicht teil derselben gemeinschaft sind	zwei separate gruppen die nicht teil derselben gemeinschaft sind	als zwei getrennte gruppen die nicht teil derselben gemeinschaft sind
MTE_GER_17	nur als einzelpersonen und nicht als gruppen	nur als einzelpersonen und nicht als gruppen	nur als individuen und nicht als gruppen
MTE_GER_18	verweigerung	verweigerung	verweigert
MTE_GER_19	weiß nicht	weiß nicht	weiß nicht
MTE_GER_20	konnten sie in den letzten 12 monaten also seit monat jahr aus einem der auf dieser karte aufgeführten gründe nicht die medizinische beratung oder die behandlung erhalten die sie benötigten	konnten sie in den letzten 12 monaten also seit monat jahr aus einem der auf dieser karte aufgeführten gründe keine medizinische beratung oder die behandlung erhalten die sie benötigten	in den letzten 12 monaten d h seit monat jahr ist es jemals vorgekommen dass es ihnen aus einem oder mehreren der auf dieser liste aufgeführten gründe nicht möglich war eine ärztliche beratung oder behandlung in anspruch zu nehmen
MTE_GER_21	interviewer beziehen sie sich auf denselben monat wie das interview jedoch auf das vorjahr	interviewer beziehen sie sich auf denselben monat wie das interview jedoch auf das vorjahr	interviewer bitte beziehen sie sich auf den aktuellen monat in dem das interview stattfindet allerdings im vorjahr
MTE_GER_22	wenn das interview beispielsweise im september 2014 stattfindet verwenden sie september 2013	wenn das interview beispielsweise im september 2014 stattfindet verwenden sie september 2013	beispiel falls das interview im september 2014 stattfindet verwenden sie september 2013
MTE_GER_23	konnte nicht dafür bezahlen	konnte nicht dafür bezahlen	konnte ich nicht bezahlen
MTE_GER_24	konnte mir nicht von der arbeit frei nehmen	konnte keine zeit von der arbeit freinehmen	konnte mir dafür nicht von der arbeit freinehmen
MTE_GER_25	hatte andere verpflichtungen	hatte andere verpflichtungen	hatte andere verpflichtungen
MTE_GER_26	die behandlung die sie brauchten war weder dort wo sie leben noch in der nähe verfügbar	die benötigte behandlung war an ihrem wohnort oder in der nähe nicht verfügbar	die behandlung die ich benötigte wurde in meinem wohnort oder in der näheren umgebung nicht angeboten
MTE_GER_27	die warteliste war zu lang	die warteliste war zu lang	die warteliste war zu lang
MTE_GER_28	es waren keine termine verfügbar	es waren keine termine verfügbar	es gab keine freien termine
MTE_GER_29	anderer grund	anderer grund	anderer grund
MTE_GER_30	ja	ja	ja
MTE_GER_31	nein	nein	nein
MTE_GER_32	verweigerung	verweigerung	verweigert
MTE_GER_33	weiß nicht	weiß nicht	weiß nicht
